iter	Logloss
296	0.3085644041
297	0.3085081635
298	0.3084345914
299	0.3083753315
300	0.3082390301
301	0.3079655553
302	0.3077029833
303	0.3074029326
304	0.3069906924
305	0.3067828179
306	0.3064210264
307	0.3059863946
308	0.3058237804
309	0.3054120699
310	0.3052931317
311	0.3052054289
312	0.3050189914
313	0.3049231027
314	0.3046033722
315	0.3044002557
316	0.3043435817
317	0.3042486003
318	0.3041544842
319	0.303984616
320	0.3037973309
321	0.3037065077
322	0.303458119
323	0.3033652631
324	0.303041131
325	0.3027238283
326	0.3026432705
327	0.3022264783
328	0.3019986423
329	0.301828663
330	0.3016870796
331	0.3013290807
332	0.3010395854
333	0.3006291091
334	0.3004810344
335	0.2998473603
336	0.2997122221
337	0.2996349883
338	0.2994942177
339	0.2993259557
340	0.2990499886
341	0.2987733397
342	0.2985822731
343	0.2985475089
344	0.2981971883
345	0.2979498484
346	0.2977996287
347	0.297766294
348	0.2974812279
349	0.2974413306
350	0.2973474988
351	0.2968999431
352	0.2967911129
353	0.296597832
354	0.2964029099
355	0.2963060873
356	0.2960793612
357	0.2959390286
358	0.2958867925
359	0.2957521112
360	0.2955903702
361	0.2954881165
362	0.2952226632
363	0.2950361111
364	0.2949011984
365	0.2947855855
366	0.2945172741
367	0.2945115352
368	0.2943990109
369	0.294177587
370	0.2940127091
371	0.2936624328
372	0.293502434
373	0.2932981415
374	0.293160696
375	0.2930121741
376	0.2929291962
377	0.2926611506
378	0.2925855238
379	0.2925664054
380	0.2925300702
381	0.292319588
382	0.2921250083
383	0.2920212284
384	0.2918768588
385	0.2917384895
386	0.2916030789
387	0.2910383573
388	0.2906717474
389	0.2905003185
390	0.2899999546
391	0.2899046797
392	0.2895430019
393	0.2894653975
394	0.2891022311
395	0.2889134109
396	0.2887438581
397	0.2884388082
398	0.2882894423
399	0.2882464199
400	0.2881301988
401	0.2879275936
402	0.2877459329
403	0.2875891331
404	0.2874948055
405	0.2872104539
406	0.2871887725
407	0.2870217076
408	0.2869698853
409	0.2869004571
410	0.2865054952
411	0.2863142088
412	0.2862375099
413	0.2860818801
414	0.2856311855
415	0.285418166
416	0.2851323938
417	0.2850363017
418	0.2847355535
419	0.2846782198
420	0.2845581705
421	0.284354663
422	0.2841352628
423	0.2840304629
424	0.2838927553
425	0.2837252555
426	0.2836543424
427	0.2834384519
428	0.2832686428
429	0.2831752256
430	0.2827995755
431	0.2824776868
432	0.2821034561
433	0.2820243527
434	0.2819774097
435	0.2819123988
436	0.281848844
437	0.2815788077
438	0.2814619366
439	0.2814013605
440	0.2812483627
441	0.2811663846
442	0.281055065
443	0.2809706652
444	0.2809022425
445	0.2807960326
446	0.2805908031
447	0.2804923144
448	0.280227443
449	0.2799626486
450	0.2799246896
451	0.2797554099
452	0.2795404346
453	0.2795391096
454	0.2791869315
455	0.2787293331
456	0.2786490022
457	0.2784072418
458	0.2782832727
459	0.2780267483
460	0.2779164248
461	0.2778976607
462	0.2777410525
463	0.2776339227
464	0.2773551131
465	0.2771181181
466	0.2770057995
467	0.2768981619
468	0.2767164826
469	0.2766780063
470	0.2766492699
471	0.2765531088
472	0.2762233745
473	0.2756144338
474	0.2755521863
475	0.275395141
476	0.2753733701
477	0.2750165594
478	0.274663194
479	0.2744271062
480	0.2743932754
481	0.2742882547
482	0.2741821798
483	0.274078984
484	0.2738895977
485	0.2737233471
486	0.2736552688
487	0.2735398544
488	0.2734897694
489	0.273446746
490	0.2732571389
491	0.2729951694
492	0.2729209569
493	0.2727652909
494	0.2726246922
495	0.2725321037
496	0.27222436
497	0.2721353008
498	0.2718814555
499	0.2717567106
500	0.2714464945
501	0.2710899078
502	0.2709561734
503	0.2708267375
504	0.2706114406
505	0.2705107758
506	0.2703659826
507	0.2702109116
508	0.2700566749
509	0.2697673891
510	0.2696554293
511	0.2694408989
512	0.269359919
513	0.2691922212
514	0.2689732956
515	0.2684104152
516	0.2682989458
517	0.2681468283
518	0.2681004917
519	0.2679825772
520	0.2677284519
521	0.267661306
522	0.2675832605
523	0.2674121913
524	0.2671413216
525	0.2670165914
526	0.2669129042
527	0.2668596258
528	0.2663224444
529	0.2662512147
530	0.2661274676
531	0.2660255193
532	0.2659116154
533	0.2656428804
534	0.2655110271
535	0.2653624559
536	0.2651824635
537	0.2650731191
538	0.2649970338
539	0.2648580714
540	0.2647891649
541	0.2646655016
542	0.264300908
543	0.2642511635
544	0.263732066
545	0.263442978
546	0.2633853971
547	0.2633235034
548	0.2632394462
549	0.2629572624
550	0.2626525703
551	0.2625178459
552	0.2623110001
553	0.2621894706
554	0.2620866519
555	0.2620359126
556	0.2618985576
557	0.2615392982
558	0.2613311812
559	0.2612514561
560	0.2609443811
561	0.2608780577
562	0.2606927196
563	0.2606426542
564	0.2604508229
565	0.2601960673
566	0.2600114262
567	0.2599415141
568	0.2598156993
569	0.2596690054
570	0.2595533225
571	0.2591761756
572	0.2590846857
573	0.2589913804
574	0.2588572595
575	0.2587544122
576	0.2585112527
577	0.2584329435
578	0.258383504
579	0.2582214031
580	0.2579933294
581	0.2578499996
582	0.2577576005
583	0.2573984732
584	0.2573116514
585	0.2571696608
586	0.2571141785
587	0.2567258844
588	0.2566329942
589	0.2565160248
590	0.256402635
591	0.2562818922
592	0.2561407606
593	0.2556220426
594	0.2551693218
595	0.2551042707
596	0.2550414139
597	0.2549014153
598	0.2544886557
599	0.2543534784
600	0.2542229455
601	0.2539197046
602	0.2537017001
603	0.2536079351
604	0.2534868639
605	0.2532608323
606	0.2530346325
607	0.2528631597
608	0.252796904
609	0.2527073374
610	0.2526401197
611	0.2521689371
612	0.2520977187
613	0.2517867049
614	0.2517201895
615	0.2516547571
616	0.2513927521
617	0.2512182348
618	0.2510773432
619	0.2509832447
620	0.2508290099
621	0.2507289471
622	0.2503773967
623	0.2502588067
624	0.2501496724
625	0.2500257615
626	0.2498781479
627	0.249610348
628	0.2493653656
629	0.2489044767
630	0.2486710609
631	0.248588128
632	0.2481131234
633	0.2479073005
634	0.2476817627
635	0.2474167904
636	0.2473151196
637	0.2472272583
638	0.2469730855
639	0.2469158569
640	0.2465203064
641	0.2464051785
642	0.2462214047
643	0.2461115283
644	0.2459646983
645	0.2458498903
646	0.2455902018
647	0.2452494964
648	0.2451964597
649	0.2451586168
650	0.2448062671
651	0.2447804211
652	0.2446554238
653	0.2445224804
654	0.2444193115
655	0.244350419
656	0.2442075227
657	0.2439252204
658	0.2438904898
659	0.2438047917
660	0.2437480455
661	0.2436180788
662	0.2433523568
663	0.2432552187
664	0.2430612018
665	0.2430177718
666	0.2428865241
667	0.2427898967
668	0.2427289734
669	0.242596463
670	0.2425224999
671	0.2422780165
672	0.2422200469
673	0.242146624
674	0.2420438783
675	0.2419076368
676	0.2415936562
677	0.2414889788
678	0.2411142167
679	0.2409643708
680	0.2408361764
681	0.2407382722
682	0.2406210394
683	0.2405252029
684	0.2402806198
685	0.2402339425
686	0.2401644118
687	0.240031804
688	0.239654504
689	0.239596882
690	0.2395194835
691	0.239429458
692	0.2390079885
693	0.2387291901
694	0.2386129692
695	0.2383560724
696	0.2382819258
697	0.2381579479
698	0.2381096086
699	0.2379866663
700	0.237734418
701	0.2375504825
702	0.2374221455
703	0.2371034292
704	0.2370586104
705	0.2370048122
706	0.2368027807
707	0.2365909525
708	0.2364866218
709	0.236400999
710	0.2363371559
711	0.2362165127
712	0.2358985359
713	0.2358578781
714	0.2356903305
715	0.2355692582
716	0.2355006236
717	0.2353214331
718	0.235276224
719	0.2351026673
720	0.234943508
721	0.2348243988
722	0.2347034908
723	0.2344363822
724	0.234404414
725	0.2343421641
726	0.234249816
727	0.2338117134
728	0.233418237
729	0.2333143056
730	0.2332000242
731	0.2328321213
732	0.2324137024
733	0.2322268464
734	0.2321069736
735	0.2319926885
736	0.2319239886
737	0.2317363744
738	0.2316812929
739	0.2314951301
740	0.2312560157
741	0.2308081958
742	0.2307129097
743	0.2304100531
744	0.230165205
745	0.2300794739
746	0.2299071234
747	0.2296361663
748	0.2295369786
749	0.2294248465
750	0.229340385
751	0.2293026276
752	0.2291859584
753	0.2290806226
754	0.2287921367
755	0.2283846673
756	0.228188124
757	0.228153429
758	0.2279116033
759	0.2276832064
760	0.2275722014
761	0.2271740236
762	0.2271030966
763	0.2270155951
764	0.2269316653
765	0.2266158505
766	0.2264341913
767	0.2264057049
768	0.2263017714
769	0.2261079488
770	0.2257247367
771	0.2255235182
772	0.2254224186
773	0.2253875173
774	0.2251920507
775	0.2248990531
776	0.224795765
777	0.2246563817
778	0.2244030584
779	0.2242359853
780	0.224183063
781	0.2237635548
782	0.2236745644
783	0.223576833
784	0.2231683878
785	0.2230707917
786	0.2230368807
787	0.2228208067
788	0.2227181226
789	0.2223325948
790	0.2221646888
791	0.2218716317
792	0.2217117813
793	0.2214979483
794	0.2214057834
795	0.2213424061
796	0.22128357
797	0.2211930522
798	0.2210958045
799	0.2209422365
800	0.220773974
801	0.2204288428
802	0.2202095154
803	0.2201197767
804	0.220055285
805	0.2197881372
806	0.2197306473
807	0.2195980943
808	0.219560296
809	0.2195337137
810	0.2193504336
811	0.2192123886
812	0.2191166266
813	0.2190270322
814	0.2189363658
815	0.2187377404
816	0.2185823484
817	0.2182796439
818	0.2180482933
819	0.2180158019
820	0.217912331
821	0.217823212
822	0.217612792
823	0.2173931032
824	0.217001648
825	0.2166887389
826	0.2164776645
827	0.216157161
828	0.2160886951
829	0.2160031195
830	0.2157048338
831	0.2156643235
832	0.2153882127
833	0.2152369407
834	0.2151527764
835	0.2150790036
836	0.2147767646
837	0.2144465178
838	0.2143947275
839	0.214203564
840	0.2141030813
841	0.2137936767
842	0.2136492161
843	0.2135686846
844	0.21328369
845	0.2131981542
846	0.2129271978
847	0.2126651731
848	0.2125945969
849	0.2125220662
850	0.2122655449
851	0.2121840571
852	0.2120183288
853	0.2119919556
854	0.2119428363
855	0.2118544235
856	0.2116130667
857	0.2115786629
858	0.2113284368
859	0.21123222
860	0.2109981479
861	0.2109653897
862	0.2108951136
863	0.2108134179
864	0.210594595
865	0.2102506272
866	0.2100746145
867	0.2100305381
868	0.2098895493
869	0.2097385549
870	0.2094252043
871	0.2093490483
872	0.2092518378
873	0.2091715387
874	0.2091427386
875	0.209079387
876	0.2087783028
877	0.2085200537
878	0.208306369
879	0.2080357998
880	0.2078809759
881	0.2075667785
882	0.2073842314
883	0.207210571
884	0.2071342303
885	0.206810445
886	0.2067349367
887	0.2066530467
888	0.2064579456
889	0.2063798107
890	0.2061870564
891	0.2060318614
892	0.2058779332
893	0.2058032599
894	0.2057258082
895	0.2055459125
896	0.2052233818
897	0.2050896255
898	0.2050173006
899	0.2048372477
900	0.2046265055
901	0.2045807658
902	0.2044905961
903	0.2044194253
904	0.2041574811
905	0.2040362161
906	0.203749997
907	0.2035265631
908	0.2034569475
909	0.2033270144
910	0.2032471505
911	0.203231457
912	0.2031474115
913	0.2029709569
914	0.202795661
915	0.2027256924
916	0.202516969
917	0.2024318134
918	0.2023322623
919	0.2021079141
920	0.2018123239
921	0.2015100583
922	0.2014235063
923	0.2013575778
924	0.2012931761
925	0.2012419006
926	0.2010248651
927	0.2009629213
928	0.2008315519
929	0.2007751465
930	0.2007081406
931	0.2006633906
932	0.2005295011
933	0.2003234557
934	0.2000231529
935	0.1997266416
936	0.1995484613
937	0.1992467752
938	0.1989559476
939	0.198938655
940	0.198917242
941	0.1987138832
942	0.1985001536
943	0.1982328663
944	0.1980898152
945	0.1979083773
946	0.197859356
947	0.1978035966
948	0.1976013494
949	0.1974839271
950	0.1972281984
951	0.1969926572
952	0.1968322703
953	0.1967873966
954	0.1967246737
955	0.1966606934
956	0.1964051175
957	0.1961716162
958	0.1959598188
959	0.1956679623
960	0.1953805065
961	0.1951867751
962	0.1949206827
963	0.1948295031
964	0.1946419726
965	0.1945125817
966	0.1942883221
967	0.1941105598
968	0.1938810973
969	0.1937244985
970	0.1935168274
971	0.1934746264
972	0.1932858669
973	0.193132146
974	0.1931056707
975	0.1929096975
976	0.192745812
977	0.1926944501
978	0.192480792
979	0.1923383727
980	0.1922779965
981	0.1922327105
982	0.1922217558
983	0.1920712609
984	0.1919398411
985	0.1918999373
986	0.1916646359
987	0.191479787
988	0.1914612348
989	0.1913615697
990	0.1912757305
991	0.1912244582
992	0.1910599842
993	0.1908941288
994	0.1907404439
995	0.1905954815
996	0.1904052711
997	0.1902478723
998	0.1901404382
999	0.189886143
